rank,movie,num_theaters,tot_gross,release_date,distrib,release_qtr,release_month,release_year,period,rpt,LN_RPT,RPT,QTR,Distrib,Period
19,Shazam!,4306,140371656,2019-04-05,Warner Bros.,2,4,2019,prepan,32599.084068741293,10.392039470909218,0.03,2,W,Pre-Pandemic
44,Shazam! Fury of the Gods,4071,57638006,2023-03-17,Warner Bros.,1,3,2023,postpan,14158.193564234833,9.558048785962306,0.01,1,W,Post-Pandemic
94,She Said,2023,5825995,2022-11-18,Universal Pictures,4,11,2022,postpan,2879.878892733564,7.965503521111639,0,4,U,Post-Pandemic
72,Sherlock Gnomes,3662,43242871,2018-03-23,Paramount Pictures,1,3,2018,prepan,11808.53932277444,9.376578220151416,0.01,1,P,Pre-Pandemic
60,Sicario: Day of the Soldado,3055,50072235,2018-06-29,Sony Pictures Releasing,2,6,2018,prepan,16390.256955810146,9.704442349211698,0.02,2,S,Pre-Pandemic
18,Sing,4029,270395425,2016-12-21,Universal Pictures,4,12,2016,prepan,67112.2921320427,11.114122497419903,0.07,4,U,Pre-Pandemic
7,Sinners,3518,279989632,2025-04-18,Warner Bros.,2,4,2025,postpan,79587.72939169983,11.284615206579018,0.08,2,W,Post-Pandemic
76,Sisters,2978,87044645,2016-12-18,Universal Pictures,4,12,2016,prepan,29229.229348556077,10.282924492672405,0.03,4,U,Pre-Pandemic
46,Skyscraper,3822,68420120,2018-07-13,Universal Pictures,3,7,2018,prepan,17901.65358451073,9.792648366585112,0.02,3,U,Pre-Pandemic
38,Smallfoot,4131,83240103,2018-09-28,Warner Bros.,3,9,2018,prepan,20150.109658678288,9.91096500947805,0.02,3,W,Pre-Pandemic
16,Smile,3659,105935048,2022-09-30,Paramount Pictures,3,9,2022,postpan,28951.91254441104,10.273391544529256,0.03,3,P,Post-Pandemic
31,Smile 2,3624,69012586,2024-10-18,Paramount Pictures,4,10,2024,postpan,19043.208057395143,9.85446578456185,0.02,4,P,Post-Pandemic
60,Smurfs: The Lost Village,3610,45020282,2017-04-07,Sony Pictures Releasing,2,4,2017,prepan,12470.992243767312,9.431160605979034,0.01,2,S,Pre-Pandemic
24,Snow White,4200,87203963,2025-03-21,Walt Disney Studios Motion Pictures,1,3,2025,postpan,20762.84833333333,9.94092053082276,0.02,1,D,Post-Pandemic
10,Solo: A Star Wars Story,4381,213767512,2018-05-25,Walt Disney Studios Motion Pictures,2,5,2018,prepan,48794.22780187172,10.795367302096752,0.05,2,D,Pre-Pandemic
10,Sonic the Hedgehog 2,4258,190872904,2022-04-08,Paramount Pictures,2,4,2022,postpan,44826.89149835604,10.71056349498084,0.04,2,P,Post-Pandemic
14,Sonic the Hedgehog 3,3769,236115100,2024-12-20,Paramount Pictures,4,12,2024,postpan,62646.617139824884,11.045264962694379,0.06,4,P,Post-Pandemic
46,Speak No Evil,3375,36931420,2024-09-13,Universal Pictures,3,9,2024,postpan,10942.642962962964,9.300422633906638,0.01,3,U,Post-Pandemic
7,Spider-Man: Far from Home,4634,390532085,2019-07-02,Sony Pictures Releasing,3,7,2019,prepan,84275.37440656021,11.34184498276887,0.08,3,S,Pre-Pandemic
5,Spider-Man: Homecoming,4348,334201140,2017-07-07,Sony Pictures Releasing,3,7,2017,prepan,76863.1876724931,11.249782337009709,0.08,3,S,Pre-Pandemic
29,Spider-Man: Into the Spider-Verse,3813,190241310,2018-12-14,Sony Pictures Releasing,4,12,2018,prepan,49892.8166797797,10.817632317064161,0.05,4,S,Pre-Pandemic
23,Split,3373,138291365,2017-01-20,Universal Pictures,1,1,2017,prepan,40999.51526830714,10.62131552289234,0.04,1,U,Pre-Pandemic
16,Star Trek Beyond,3928,158848340,2016-07-22,Paramount Pictures,3,7,2016,prepan,40440.00509164969,10.607574799040673,0.04,3,P,Pre-Pandemic
87,Star Wars: Episode I - The Phantom Menace,2700,13029994,2024-05-03,Walt Disney Studios Motion Pictures,2,5,2024,postpan,4825.923703703704,8.481757436632677,0,2,D,Post-Pandemic
59,Star Wars: Episode III - Revenge of the Sith,2800,34107714,2025-04-25,Walt Disney Studios Motion Pictures,2,4,2025,postpan,12181.326428571429,9.407659437516038,0.01,2,D,Post-Pandemic
10,Star Wars: Episode VII - The Force Awakens,4134,936662225,2016-12-18,Walt Disney Studios Motion Pictures,4,12,2016,prepan,226575.28422835027,12.330832549378117,0.23,4,D,Pre-Pandemic
1,Star Wars: Episode VIII - The Last Jedi,4232,620181382,2017-12-15,Walt Disney Studios Motion Pictures,4,12,2017,prepan,146545.69517958412,11.8950925712933,0.15,4,D,Pre-Pandemic
43,Storks,3922,72679278,2016-09-23,Warner Bros.,3,9,2016,prepan,18531.177460479346,9.827209860729539,0.02,3,W,Pre-Pandemic
41,Strange World,4174,37968963,2022-11-23,Walt Disney Studios Motion Pictures,4,11,2022,postpan,9096.541207474844,9.115649533162857,0.01,4,D,Post-Pandemic
69,Strays,3232,23988885,2023-08-18,Universal Pictures,3,8,2023,postpan,7422.303527227723,8.912244736395728,0.01,3,U,Post-Pandemic
9,Suicide Squad,4255,325100054,2016-08-05,Warner Bros.,3,8,2016,prepan,76404.24300822562,11.243793510369382,0.08,3,W,Pre-Pandemic
24,Sully,3955,125070033,2016-09-09,Warner Bros.,3,9,2016,prepan,31623.270037926675,10.361648522175543,0.03,3,W,Pre-Pandemic
3,Superman,4275,354223803,2025-07-11,Warner Bros.,3,7,2025,postpan,82859.36912280702,11.324900101829865,0.08,3,W,Post-Pandemic
54,Tag,3382,54730625,2018-06-15,Warner Bros.,2,6,2018,prepan,16182.91691306919,9.691711453293063,0.02,2,W,Pre-Pandemic
98,Teen Titans GO! To the Movies,3188,29790236,2018-07-27,Warner Bros.,3,7,2018,prepan,9344.490589711419,9.142542206869496,0.01,3,W,Pre-Pandemic
22,Teenage Mutant Ninja Turtles: Mutant Mayhem,3950,118700272,2023-08-02,Paramount Pictures,3,8,2023,postpan,30050.7017721519,10.310641293173259,0.03,3,P,Post-Pandemic
37,Teenage Mutant Ninja Turtles: Out of the Shadows,4071,82051601,2016-06-03,Paramount Pictures,2,6,2016,prepan,20155.146401375583,9.9112149392994109,0.02,2,P,Pre-Pandemic
45,Terminator: Dark Fate,4086,62253077,2019-11-01,Paramount Pictures,4,11,2019,prepan,15235.701664219285,9.631396746428791,0.02,4,P,Pre-Pandemic
81,The 15:17 to Paris,3042,36276286,2018-02-09,Warner Bros.,1,2,2018,prepan,11925.14332675871,9.38640433469972,0.01,1,W,Pre-Pandemic
60,The 355,3145,14570455,2022-01-07,Universal Pictures,1,1,2022,postpan,4632.895071542131,8.440937237101064,0,1,U,Post-Pandemic
83,The 5th Wave,2908,34916787,2016-01-22,Sony Pictures Releasing,1,1,2016,prepan,12007.148211829435,9.393257435739779,0.01,1,S,Pre-Pandemic
35,The Accountant,3402,86260045,2016-10-14,Warner Bros.,4,10,2016,prepan,25355.68636096414,10.140758297906673,0.03,4,W,Pre-Pandemic
26,The Angry Birds Movie,3932,107509366,2016-05-20,Sony Pictures Releasing,2,5,2016,prepan,27342.158189216683,10.216185046051116,0.03,2,S,Pre-Pandemic
66,The Angry Birds Movie 2,3869,41667116,2019-08-13,Sony Pictures Releasing,3,8,2019,prepan,10769.479452054795,9.284471435839805,0.01,3,S,Pre-Pandemic
57,The BFG,3392,55483770,2016-07-01,Walt Disney Studios Motion Pictures,3,7,2016,prepan,16357.243514150943,9.702426106605735,0.02,3,D,Pre-Pandemic
19,The Bad Guys,4042,97459240,2022-04-22,Universal Pictures,2,4,2022,postpan,24111.637803067788,10.09044989931466,0.02,2,U,Post-Pandemic
26,The Bad Guys 2,3860,82593605,2025-08-01,Universal Pictures,3,8,2025,postpan,21397.306994818653,9.97102035172764,0.02,3,U,Post-Pandemic
7,The Batman,4417,369345583,2022-03-04,Warner Bros.,1,3,2022,postpan,83619.10414308355,11.334027291424364,0.08,1,W,Post-Pandemic
45,The Best Christmas Pageant Ever,3020,40048808,2024-11-08,Lionsgate,4,11,2024,postpan,13261.194701986755,9.492597357870302,0.01,4,L,Post-Pandemic
68,The Big Short,2529,70259870,2016-12-11,Paramount Pictures,4,12,2016,prepan,27781.680506128905,10.232132107859854,0.03,4,P,Pre-Pandemic
66,The Big Sick,2597,42873127,2017-06-23,Lionsgate,2,6,2017,prepan,16508.71274547555,9.71164356570221,0.02,2,L,Pre-Pandemic
23,The Black Phone,3156,90123230,2022-06-24,Universal Pictures,2,6,2022,postpan,28556.156527249685,10.25962783202103,0.03,2,U,Post-Pandemic
75,The Blackening,1775,17707207,2023-06-16,Lionsgate,2,6,2023,postpan,9975.891267605633,9.207926587902481,0.01,2,L,Post-Pandemic
50,The Boss,3495,63285885,2016-04-08,Universal Pictures,2,4,2016,prepan,18107.549356223175,9.804084221799478,0.02,2,U,Pre-Pandemic
53,The Color Purple,3218,60619191,2023-12-25,Warner Bros.,4,12,2023,postpan,18837.536047234305,9.843606756522,0.02,4,W,Post-Pandemic
80,The Commuter,2892,36343858,2018-01-12,Lionsgate,1,1,2018,prepan,12567.032503457815,9.438832196025249,0.01,1,L,Pre-Pandemic
28,The Conjuring 2,3356,102470008,2016-06-10,Warner Bros.,2,6,2016,prepan,30533.37544696067,10.326575641260431,0.03,2,W,Pre-Pandemic
15,The Conjuring: Last Rites,3802,177756445,2025-09-05,Warner Bros.,3,9,2025,postpan,46753.404786954234,10.752642361732352,0.05,3,W,Post-Pandemic
52,The Curse of La Llorona,3372,54733739,2019-04-19,Warner Bros.,2,4,2019,prepan,16231.832443653619,9.694729558858336,0.02,2,W,Pre-Pandemic
54,The Dark Tower,3451,50701325,2017-08-04,Sony Pictures Releasing,3,8,2017,prepan,14691.777745580992,9.595043279244207,0.01,3,S,Pre-Pandemic
46,The Divergent Series: Allegiant,3740,66184051,2016-03-18,Lionsgate,1,3,2016,prepan,17696.270320855616,9.781109180022273,0.02,1,L,Pre-Pandemic
38,The Emoji Movie,4075,86089513,2017-07-28,Sony Pictures Releasing,3,7,2017,prepan,21126.260858895705,9.958272136072457,0.02,3,S,Pre-Pandemic
32,The Equalizer 2,3388,102084362,2018-07-20,Sony Pictures Releasing,3,7,2018,prepan,30131.15761511216,10.31331505206708,0.03,3,S,Pre-Pandemic
38,The Exorcist: Believer,3684,65537395,2023-10-06,Universal Pictures,4,10,2023,postpan,17789.73805646037,9.786377056350263,0.02,4,U,Post-Pandemic
82,The Expendables 4,3518,16710153,2023-09-22,Lionsgate,3,9,2023,postpan,4749.901364411598,8.465879131426052,0,3,L,Post-Pandemic
67,The Fabelmans,1962,17348945,2022-11-11,Universal Pictures,4,11,2022,postpan,8842.479612640163,9.087322615466592,0.01,4,U,Post-Pandemic
25,The Fall Guy,4008,92900355,2024-05-03,Universal Pictures,2,5,2024,postpan,23178.73128742515,10.050990382325304,0.02,2,U,Post-Pandemic
8,The Fantastic Four: First Steps,4125,274286610,2025-07-25,Walt Disney Studios Motion Pictures,3,7,2025,postpan,66493.72363636363,11.104862840781674,0.07,3,D,Post-Pandemic
10,The Fate of the Furious,4329,226008385,2017-04-14,Universal Pictures,2,4,2017,prepan,52207.98914298914,10.862990810876237,0.05,2,U,Pre-Pandemic
94,The Finest Hours,3143,27569558,2016-01-29,Walt Disney Studios Motion Pictures,1,1,2016,prepan,8771.733375755648,9.079289714155147,0.01,1,D,Pre-Pandemic
42,The First Purge,3038,69488745,2018-07-04,Universal Pictures,3,7,2018,prepan,22873.187952600394,10.037720671819166,0.02,3,U,Pre-Pandemic
24,The Flash,4256,108133313,2023-06-16,Warner Bros.,2,6,2023,postpan,25407.26339285714,10.142790372476467,0.03,2,W,Post-Pandemic
26,The Garfield Movie,4108,91956547,2024-05-24,Sony Pictures Releasing,2,5,2024,postpan,22384.748539435248,10.016135137171508,0.02,2,S,Post-Pandemic
41,The Girl on the Train,3241,75395035,2016-10-07,Universal Pictures,4,10,2016,prepan,23262.8926257328,10.054614778862144,0.02,4,U,Pre-Pandemic
59,The Great Wall,3328,45540830,2017-02-17,Universal Pictures,1,2,2017,prepan,13684.143629807691,9.523993042228298,0.01,1,U,Pre-Pandemic
6,The Grinch,4141,271740675,2018-11-09,Universal Pictures,4,11,2018,prepan,65621.99347983579,11.09166618520385,0.07,4,U,Pre-Pandemic
41,The Hitman's Bodyguard,3377,75468583,2017-08-18,Lionsgate,3,8,2017,prepan,22347.818477939,10.014483988026766,0.02,3,L,Pre-Pandemic
94,The House,3134,25584504,2017-06-30,Warner Bros.,2,6,2017,prepan,8163.530312699426,9.007431990758251,0.01,2,W,Pre-Pandemic
45,The House with a Clock in Its Walls,3592,68549695,2018-09-21,Universal Pictures,3,9,2018,prepan,19083.990812917593,9.856605085233534,0.02,3,U,Pre-Pandemic
38,The Housemaid,3123,126432462,2025-12-19,Lionsgate,4,12,2025,postpan,40484.29779058597,10.608669469041692,0.04,4,L,Post-Pandemic
14,The Hunger Games: The Ballad of Songbirds & Snakes,3776,166350594,2023-11-17,Lionsgate,4,11,2023,postpan,44054.7123940678,10.693187603941483,0.04,4,L,Post-Pandemic
64,The Huntsman: Winter's War,3802,48390190,2016-04-22,Universal Pictures,2,4,2016,prepan,12727.561809573908,9.451525142144499,0.01,2,U,Pre-Pandemic
47,The Invitation,3117,25100080,2022-08-26,Sony Pictures Releasing,3,8,2022,postpan,8052.640359319859,8.993755311580593,0.01,3,S,Post-Pandemic
5,The Jungle Book,4144,364001123,2016-04-15,Walt Disney Studios Motion Pictures,2,4,2016,prepan,87838.10883204633,11.383250726821771,0.09,2,D,Pre-Pandemic
90,The Last Voyage of the Demeter,2715,13637180,2023-08-11,Universal Pictures,3,8,2023,postpan,5022.902394106814,8.521763211768853,0.01,3,U,Post-Pandemic
23,The Legend of Tarzan,3591,126643061,2016-07-01,Warner Bros.,3,7,2016,prepan,35266.79504316347,10.470697149896917,0.04,3,W,Pre-Pandemic
14,The Lego Batman Movie,4088,175750384,2017-02-10,Warner Bros.,1,2,2017,prepan,42991.77690802349,10.668764141690884,0.04,1,W,Pre-Pandemic
28,The Lego Movie 2: The Second Part,4303,105806508,2019-02-08,Warner Bros.,1,2,2019,prepan,24589.009528236114,10.110054854945405,0.02,1,W,Pre-Pandemic
47,The Lego Ninjago Movie,4047,59281555,2017-09-22,Warner Bros.,3,9,2017,prepan,14648.271559179639,9.592077625176197,0.01,3,W,Pre-Pandemic
2,The Lion King,4802,543638043,2019-07-19,Walt Disney Studios Motion Pictures,3,7,2019,prepan,113210.75447730112,11.637006444455047,0.11,3,D,Pre-Pandemic
6,The Little Mermaid,4320,298172056,2023-05-26,Walt Disney Studios Motion Pictures,2,5,2023,postpan,69021.30925925926,11.142170565745614,0.07,2,D,Post-Pandemic
58,The Long Walk,2845,35163573,2025-09-12,Lionsgate,3,9,2025,postpan,12359.779613356766,9.422202900218148,0.01,3,L,Post-Pandemic
17,The Lost City,4283,105344029,2022-03-25,Paramount Pictures,1,3,2022,postpan,24595.850805510156,10.110333041251993,0.02,1,P,Post-Pandemic
30,The Magnificent Seven,3696,93432655,2016-09-23,Sony Pictures Releasing,3,9,2016,prepan,25279.3979978355,10.13774503460049,0.03,3,S,Pre-Pandemic
30,The Marvels,4030,84500223,2023-11-10,Walt Disney Studios Motion Pictures,4,11,2023,postpan,20967.797270471463,9.950743076436446,0.02,4,D,Post-Pandemic
21,The Meg,4118,145443742,2018-08-10,Warner Bros.,3,8,2018,prepan,35319.02428363283,10.47217702929761,0.04,3,W,Pre-Pandemic
66,The Ministry of Ungentlemanly Warfare,2845,20535053,2024-04-19,Lionsgate,2,4,2024,postpan,7217.944815465729,8.884325539768371,0.01,2,L,Post-Pandemic
49,The Mule,3329,103804407,2018-12-14,Warner Bros.,4,12,2018,prepan,31181.858516070894,10.34759174686718,0.03,4,W,Pre-Pandemic
40,The Mummy,4035,80227895,2017-06-09,Universal Pictures,2,6,2017,prepan,19882.997521685254,9.897620249613164,0.02,2,U,Pre-Pandemic
79,The Nice Guys,2865,36261763,2016-05-20,Warner Bros.,2,5,2016,prepan,12656.810820244327,9.445950754030223,0.01,2,W,Pre-Pandemic
26,The Nun,3876,117450119,2018-09-07,Warner Bros.,3,9,2018,prepan,30301.888286893703,10.31896530925513,0.03,3,W,Pre-Pandemic
29,The Nun II,3743,86267073,2023-09-08,Warner Bros.,3,9,2023,postpan,23047.57493988779,10.045315834208315,0.02,3,W,Post-Pandemic
55,The Nutcracker and the Four Realms,3766,54858851,2018-11-02,Walt Disney Studios Motion Pictures,4,11,2018,prepan,14566.87493361657,9.586505389815645,0.01,4,D,Pre-Pandemic
38,The Purge: Election Year,2821,79213375,2016-07-01,Universal Pictures,3,7,2016,prepan,28079.891882311236,10.242809007787294,0.03,3,U,Pre-Pandemic
4,The Secret Life of Pets,4381,368623860,2016-07-08,Universal Pictures,3,7,2016,prepan,84141.488244693,11.34025504470728,0.08,3,U,Pre-Pandemic
16,The Secret Life of Pets 2,4564,158980250,2019-06-07,Universal Pictures,2,6,2019,prepan,34833.534180543385,10.458335827650885,0.03,2,U,Pre-Pandemic
49,The Shack,2888,57386418,2017-03-03,Lionsgate,1,3,2017,prepan,19870.643351800554,9.89699871306904,0.02,1,L,Pre-Pandemic
60,The Shallows,2962,55124043,2016-06-24,Sony Pictures Releasing,2,6,2016,prepan,18610.412896691425,9.831476536208626,0.02,2,S,Pre-Pandemic
86,The Spy Who Dumped Me,3111,33562069,2018-08-03,Lionsgate,3,8,2018,prepan,10788.19318547091,9.286207591540043,0.01,3,L,Pre-Pandemic
70,The Star,2976,40852824,2017-11-17,Sony Pictures Releasing,4,11,2017,prepan,13727.427419354839,9.52715111189482,0.01,4,S,Pre-Pandemic
47,The Strangers: Chapter 1,2856,35202562,2024-05-17,Lionsgate,2,5,2024,postpan,12325.827030812325,9.419452098551126,0.01,2,L,Post-Pandemic
2,The Super Mario Bros. Movie,4371,574934330,2023-04-05,Universal Pictures,2,4,2023,postpan,131533.82063601006,11.787019288680348,0.13,2,U,Post-Pandemic
53,The Unbearable Weight of Massive Talent,3036,20300157,2022-04-22,Lionsgate,2,4,2022,postpan,6686.481225296443,8.807843039456737,0.01,2,L,Post-Pandemic
74,The Watchers,3351,19071404,2024-06-07,Warner Bros.,2,6,2024,postpan,5691.25753506416,8.646686510621612,0.01,2,W,Post-Pandemic
16,The Wild Robot,3997,143901945,2024-09-27,Universal Pictures,3,9,2024,postpan,36002.488116087065,10.491343329385714,0.04,3,U,Post-Pandemic
74,The Woman in the Yard,2845,22405985,2025-03-28,Universal Pictures,1,3,2025,postpan,7875.565905096661,8.971520322076614,0.01,1,U,Post-Pandemic
8,Thor: Love and Thunder,4375,343256830,2022-07-08,Walt Disney Studios Motion Pictures,3,7,2022,postpan,78458.704,11.27032770165618,0.08,3,D,Post-Pandemic
7,Thor: Ragnarok,4080,315058289,2017-11-03,Walt Disney Studios Motion Pictures,4,11,2017,prepan,77220.16887254902,11.254415956717533,0.08,4,D,Pre-Pandemic
13,Thunderbolts*,4330,190274328,2025-05-02,Walt Disney Studios Motion Pictures,2,5,2025,postpan,43943.262817551964,10.690654599384567,0.04,2,D,Post-Pandemic
28,Ticket to Paradise,4066,68275985,2022-10-21,Universal Pictures,4,10,2022,postpan,16791.92941465814,9.72865365798152,0.02,4,U,Post-Pandemic
87,Titanic,2464,15096069,2023-02-10,Paramount Pictures,1,2,2023,postpan,6126.65137987013,8.720403612113884,0.01,1,P,Post-Pandemic
52,Tomb Raider,3854,58250803,2018-03-16,Warner Bros.,1,3,2018,prepan,15114.37545407369,9.62340158674848,0.02,1,W,Pre-Pandemic
1,Top Gun: Maverick,4751,718732821,2022-05-27,Paramount Pictures,2,5,2022,postpan,151280.32435276784,11.926889847385883,0.15,2,P,Post-Pandemic
3,Toy Story 4,4575,434038008,2019-06-21,Walt Disney Studios Motion Pictures,2,6,2019,prepan,94871.69573770491,11.460280686557367,0.09,2,D,Pre-Pandemic
36,Transformers One,3978,59098421,2024-09-20,Paramount Pictures,3,9,2024,postpan,14856.314982403217,9.606180305177404,0.01,3,P,Post-Pandemic
15,Transformers: Rise of the Beasts,3680,157341749,2023-06-09,Paramount Pictures,2,6,2023,postpan,42755.91005434783,10.663262711695015,0.04,2,P,Post-Pandemic
24,Transformers: The Last Knight,4132,130168683,2017-06-21,Paramount Pictures,2,6,2017,prepan,31502.585430784125,10.357824898613329,0.03,2,P,Pre-Pandemic
44,Trap,3181,42777281,2024-08-02,Warner Bros.,3,8,2024,postpan,13447.746306193021,9.50656681011225,0.01,3,W,Post-Pandemic
25,Trolls Band Together,3893,103270155,2023-11-17,Universal Pictures,4,11,2023,postpan,26527.139737991267,10.185923628955923,0.03,4,U,Post-Pandemic
28,Tron: Ares,4000,73161014,2025-10-10,Walt Disney Studios Motion Pictures,4,10,2025,postpan,18290.2535,9.814123601321667,0.02,4,D,Post-Pandemic
76,Truth or Dare,3068,41411015,2018-04-13,Universal Pictures,2,4,2018,prepan,13497.723272490222,9.510276303721898,0.01,2,U,Pre-Pandemic
8,Twisters,4170,267762265,2024-07-19,Universal Pictures,3,7,2024,postpan,64211.57434052758,11.069938759106542,0.06,3,U,Post-Pandemic
13,Uncharted,4275,148648820,2022-02-18,Sony Pictures Releasing,1,2,2022,postpan,34771.65380116959,10.45655778789636,0.03,1,S,Post-Pandemic
73,Uncle Drew,2742,42469946,2018-06-29,Lionsgate,2,6,2018,prepan,15488.674690007294,9.647864370680631,0.02,2,L,Pre-Pandemic
68,Unsung Hero,2832,20335239,2024-04-26,Lionsgate,2,4,2024,postpan,7180.5222457627115,8.879127395575773,0.01,2,L,Post-Pandemic
12,Us,3743,175084580,2019-03-22,Universal Pictures,1,3,2019,prepan,46776.53753673524,10.753137021510343,0.05,1,U,Pre-Pandemic
11,Venom,4250,213515506,2018-10-05,Sony Pictures Releasing,4,10,2018,prepan,50238.942588235295,10.824545753711892,0.05,4,S,Pre-Pandemic
17,Venom: The Last Dance,4131,139755882,2024-10-25,Sony Pictures Releasing,4,10,2024,postpan,33831.00508351489,10.42913297116242,0.03,4,S,Post-Pandemic
34,Violent Night,3723,50057405,2022-12-02,Universal Pictures,4,12,2022,postpan,13445.448562986838,9.506395930956915,0.01,4,U,Post-Pandemic
70,War Dogs,3258,43034523,2016-08-19,Warner Bros.,3,8,2016,prepan,13208.877532228362,9.488644422840899,0.01,3,W,Pre-Pandemic
66,Warcraft,3406,47365290,2016-06-10,Universal Pictures,2,6,2016,prepan,13906.42689371697,9.54010637871481,0.01,2,U,Pre-Pandemic
16,Weapons,3631,151572492,2025-08-08,Warner Bros.,3,8,2025,postpan,41744.007711374274,10.639311192106616,0.04,3,W,Post-Pandemic
54,What Men Want,2912,54611903,2019-02-08,Paramount Pictures,1,2,2019,prepan,18754.08756868132,9.839167011302216,0.02,1,P,Pre-Pandemic
22,Where the Crawdads Sing,3650,90230760,2022-07-15,Sony Pictures Releasing,3,7,2022,postpan,24720.75616438356,10.11539850027788,0.02,3,S,Post-Pandemic
3,Wicked,3888,474983975,2024-11-22,Universal Pictures,4,11,2024,postpan,122166.66023662551,11.71314145900738,0.12,4,U,Post-Pandemic
6,Wicked: For Good,4115,342915090,2025-11-17,Universal Pictures,4,11,2025,postpan,83332.95018226003,11.330599310352824,0.08,4,U,Post-Pandemic
42,Wish,3900,63973821,2023-11-22,Walt Disney Studios Motion Pictures,4,11,2023,postpan,16403.543846153847,9.705252678648714,0.02,4,D,Post-Pandemic
81,Wolf Man,3354,20707280,2025-01-17,Universal Pictures,1,1,2025,postpan,6173.905784138342,8.728086944844978,0.01,1,U,Post-Pandemic
26,Wonder,3519,132422809,2017-11-17,Lionsgate,4,11,2017,prepan,37630.80676328502,10.535578322722133,0.04,4,L,Pre-Pandemic
61,Wonder Park,3838,45216793,2019-03-15,Paramount Pictures,1,3,2019,prepan,11781.3426263679,9.374272425784588,0.01,1,P,Pre-Pandemic
3,Wonder Woman,4165,412563408,2017-06-02,Warner Bros.,2,6,2017,prepan,99054.83985594238,11.503428913688554,0.1,2,W,Pre-Pandemic
20,Wonka,4213,218402312,2023-12-15,Warner Bros.,4,12,2023,postpan,51840.09304533587,10.855919125880561,0.05,4,W,Post-Pandemic
38,Yesterday,2755,73286650,2019-06-28,Universal Pictures,2,6,2019,prepan,26601.32486388385,10.188716300442394,0.03,2,U,Pre-Pandemic
40,Zombieland: Double Tap,3468,73123082,2019-10-18,Sony Pictures Releasing,4,10,2019,prepan,21085.08708189158,9.956321296212046,0.02,4,S,Pre-Pandemic
92,Zoolander 2,3418,28848693,2016-02-12,Paramount Pictures,1,2,2016,prepan,8440.226155646576,9.040764382923728,0.01,1,P,Pre-Pandemic
7,Zootopia,3959,341268248,2016-03-04,Walt Disney Studios Motion Pictures,1,3,2016,prepan,86200.61833796413,11.364432629920303,0.09,1,D,Pre-Pandemic
5,Zootopia 2,4000,428130160,2025-11-26,Walt Disney Studios Motion Pictures,4,11,2025,postpan,107032.54,11.58088817936085,0.11,4,D,Post-Pandemic
63,xXx: Return of Xander Cage,3651,44898413,2017-01-20,Paramount Pictures,1,1,2017,prepan,12297.565872363735,9.417156625220608,0.01,1,P,Pre-Pandemic
